순위,제목,저자,출판사,정가,판매가,할인율
1,프로젝트 헤일메리,앤디 위어,알에이치코리아,22000,19800,10
2,인생을 위한 최소한의 생각,신영준 외,상상스퀘어,19800,17820,10
3,괴테는 모든 것을 말했다,스즈키 유이,리프,17000,15300,10
4,자몽살구클럽,한로로,어센틱,12000,10800,10
5,완벽한 원시인,자청,필로틱,22000,19800,10
6,부처님 말씀대로 살아보니,토니 페르난도,윌마,18900,17010,10
7,무례한 세상에서 나를 지키는 법,발타자르 그라시안,논픽션,19800,17820,10
8,안녕이라 그랬어,김애란,문학동네,16800,15120,10
9,제17회 젊은작가상 수상작품집(2026),김채원 외,문학동네,7700,6930,10
10,모순,양귀자,쓰다,13000,11700,10
11,나의 완벽한 장례식,조현선,북로망스,19000,17100,10
12,싯다르타,헤르만 헤세,민음사,8000,7200,10
13,니체의 초월자,프리드리히 니체,히읏,16900,15210,10
14,사랑이 있으니 살아집디다,유시민 외,은빛,18000,16200,10
15,왕과 사는 남자 각본집,황성구 외,플레인아카이브,18000,16200,10
16,작별하지 않는다,한강,문학동네,16800,15120,10
17,아르테미스(스페셜 에디션),앤디 위어,알에이치코리아,19800,17820,10
18,이향인,라미 카민스키,21세기북스,16900,15210,10
19,혼모노,성해나,창비,18000,16200,10
20,불안(리커버:K),알랭 드 보통,은행나무,18000,16200,10
21,위버멘쉬,프리드리히 니체,떠오름(RISE),17800,16020,10
22,급류,정대건,민음사,14000,12600,10
23,돈의 심리학(50만 부 기념 뉴 에디션),모건 하우절,인플루엔셜,24800,22320,10
24,내면 근력,짐 머피,윌북,22000,19800,10
25,브람스를 좋아하세요,프랑수아즈 사강,민음사,10000,9000,10
26,박태웅의 AI 강의 2026,박태웅,한빛비즈,23000,20700,10
27,행복할 거야 이래도 되나 싶을 정도로(10만 부 기념 교보문고 단독 리커버),일홍,부크럼,18000,16200,10
28,흔한남매 방방곡곡 한국사 1,흔한남매,미래엔아이세움,16800,15120,10
29,처음 읽는 그리스 로마 신화 14: 돌아온 오디세우스,최설희,미래엔아이세움,16800,15120,10
30,다크 심리학(20만 부 한정판 스페셜 에디션),다크 사이드 프로젝트,어센딩,21900,19710,10
31,마션(스페셜 에디션),앤디 위어,알에이치코리아,19800,17820,10
32,딱 1년만 미쳐라,리치파카(강연주),모티브,19800,17820,10
33,돈의 방정식,모건 하우절,서삼독,28000,25200,10
34,꽃을 보듯 너를 본다(100만 부 기념 에디션)(리커버:K),나태주,지혜,13000,11700,10
35,늙지 않고 아프지 않는 지혜,라정찬,끌리는책,17000,15300,10
36,할 수 있다! AI 주식 투자,머신러너,에프엔미디어,25000,22500,10
37,세종의 나라 1,김진명,이타북스,22000,19800,10
38,엄마가 유령이 되었어!,노부미,길벗어린이,12000,10800,10
39,해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,12900,11610,10
40,박곰희 연금 부자 수업(25만 부 기념 리미티드 에디션),박곰희,인플루엔셜,21000,18900,10
41,바다에서 온 소년,개럿 카,북파머스,19800,17820,10
42,다크 심리학 2,다크 사이드 프로젝트,어센딩,24200,21780,10
43,소년이 온다,한강,창비,15000,13500,10
44,자본주의 시대에서 살아남기 위한 최소한의 경제 공부,백억남(김욱현),하이스트,28000,25200,10
45,긴긴밤,루리,문학동네,12500,11250,10
46,왜 일하는가,이나모리 가즈오,다산북스,18000,16200,10
47,코스모스,칼 세이건,사이언스북스,22000,19800,10
48,데미안,헤르만 헤세,민음사,8000,7200,10
49,질서의 소멸,이춘근,보다나은,20000,18000,10
50,너를 아끼며 살아라,나태주,더블북,18500,16650,10
51,절창,구병모,문학동네,18000,16200,10
52,죽은 왕녀를 위한 파반느(양장 특별판),박민규,위즈덤하우스,20000,18000,10
53,최소한의 삼국지(10만 부 기념 도원결의 에디션),최태성,프런트페이지,19500,17550,10
54,쇼펜하우어 인생수업(30만 부 기념 개정증보판),쇼펜하우어,하이스트,17500,15750,10
55,모든 날들이 행복했으면 좋겠어,갱여운,하이스트,18800,16920,10
56,김재우의 기본 동사 100,김재우,상상스퀘어,22000,19800,10
57,어른의 행복은 조용하다(40만 부 기념 스페셜 리커버),태수,페이지2북스,17800,16020,10
58,아주 작은 습관의 힘(50만 부 기념 스페셜 에디션),제임스 클리어,비즈니스북스,18000,16200,10
59,홍학의 자리,정해연,엘릭시르,14000,12600,10
60,이방인,알베르 카뮈,민음사,10000,9000,10
